iter	Passed	Remaining
0	26	4288
1	48	3927
2	73	3906
3	102	4058
4	124	3921
5	141	3713
6	154	3437
7	167	3236
8	179	3079
9	192	2940
10	205	2832
11	217	2738
12	229	2651
13	242	2580
14	255	2516
15	267	2453
16	279	2402
17	292	2356
18	305	2317
19	319	2285
20	331	2242
21	343	2202
22	356	2168
23	368	2134
24	380	2097
25	395	2085
26	409	2062
27	422	2034
28	434	2007
29	446	1981
30	460	1958
31	472	1933
32	485	1913
33	497	1888
34	510	1867
35	523	1847
36	536	1828
37	551	1812
38	563	1791
39	576	1771
40	588	1752
41	602	1735
42	615	1718
43	628	1699
44	641	1681
45	653	1663
46	665	1643
47	680	1629
48	693	1613
49	707	1598
50	719	1580
51	734	1567
52	748	1553
53	761	1536
54	773	1518
55	785	1500
56	800	1488
57	812	1471
58	825	1454
59	837	1437
60	850	1421
61	864	1408
62	881	1399
63	894	1383
64	907	1368
65	920	1352
66	935	1340
67	949	1326
68	963	1312
69	976	1296
70	988	1281
71	1001	1265
72	1013	1249
73	1026	1234
74	1038	1218
75	1051	1203
76	1063	1187
77	1076	1172
78	1088	1157
79	1101	1142
80	1113	1127
81	1128	1114
82	1145	1104
83	1168	1099
84	1194	1096
85	1242	1112
86	1281	1119
87	1305	1112
88	1334	1109
89	1357	1101
90	1379	1091
91	1402	1082
92	1424	1072
93	1443	1059
94	1463	1047
95	1477	1031
96	1491	1014
97	1504	997
98	1518	981
99	1531	964
100	1544	948
101	1562	934
102	1577	918
103	1594	904
104	1606	887
105	1620	871
106	1633	855
107	1646	838
108	1659	821
109	1671	805
110	1685	789
111	1697	773
112	1710	756
113	1724	741
114	1736	724
115	1748	708
116	1761	692
117	1774	676
118	1787	660
119	1800	645
120	1813	629
121	1826	613
122	1839	598
123	1853	582
124	1865	567
125	1878	551
126	1892	536
127	1904	520
128	1917	505
129	1930	490
130	1943	474
131	1954	459
132	1967	443
133	1980	428
134	1993	413
135	2005	398
136	2020	383
137	2032	368
138	2045	353
139	2058	338
140	2071	323
141	2083	308
142	2095	293
143	2108	278
144	2120	263
145	2133	248
146	2145	233
147	2159	218
148	2172	204
149	2185	189
150	2198	174
151	2211	160
152	2224	145
153	2236	130
154	2248	116
155	2261	101
156	2277	87
157	2301	72
158	2325	58
159	2348	44
160	2379	29
161	2400	14
162	2420	0
